Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kendall Graveman","ARI",,,,,,,,,,,133.3708953857422,28.456016540527344,,,3.2803702354431152,12.178630828857422,0.3294440507888794,1.6907682418823242,30.804847717285156,,,2.5294179740051463,,0.2309712897119704,0.09131400665515334,0.13965728305681707,0.2408963898419623,,0.2952018958204453,,,,,,,749.8499755859375,,,,,,,-94.33269867897035,,-22.643314838409424,,,,,,,,,,,,,,,,,,,,"Kendall Graveman","15514",608665
"Kutter Crawford","BOS",,,,,,,,,,,271.80511474609375,60.05015182495117,,,9.474270820617676,16.396446228027344,0.23656482994556427,2.7364485263824463,66.34040069580078,,,4.046023130451371,,0.24407340810261258,0.0603242740422455,0.18374913406036708,0.2412977432484922,,0.2863852028701527,,,,,,,412.79998779296875,,,,,,,-197.38180871009828,,-47.88340353965759,,,,,,,,,,,,,,,,,,,,"Kutter Crawford","20531",676710
"Sonny Gray","STL",,,,,,,,,,,395.2430114746094,85.16835021972656,,,10.276942253112793,26.75330924987793,0.08509425073862076,3.530156373977661,100.47564697265625,,,3.7556343416885785,,0.2542123302769918,0.06768825374056381,0.186524076536428,0.23601358948806264,,0.29503738858592615,,,,,,,122.05000305175781,,,,,,,-237.7432032108307,,-23.49935221672058,,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Nick Lodolo","CIN",,,,,,,,,,,476.97259521484375,102.17505645751953,,,13.800761222839355,35.71348190307617,0.43888768553733826,9.176117897033691,121.3218002319336,,,3.397086863756165,,0.25435801018565096,0.07487533300941467,0.17948267717623628,0.23893691709089304,,0.29758493716729084,,,,,,,235.97999572753906,,,,,,,-327.42970876693727,,-71.43509483337402,,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Jonathan Cannon","CHW",,,,,,,,,,,344.5859375,83.23625946044922,,,10.646344184875488,25.880001068115234,0.10480634868144989,3.349534273147583,61.25758361816406,,,2.366985358962556,,0.1777715714767497,0.07510463501754257,0.10266693645920714,0.26740218911134556,,0.29855726107466957,,,,,,,688.1699829101562,,,,,,,-312.53774685859685,,-103.57591319084167,,,,,,,,,,,,,,,,,,,,"Jonathan Cannon","31730",686563
"Jimmy Herget","COL",,,,,,,,,,,129.97500610351562,28.803300857543945,,,3.9857161045074463,7.958242893218994,0.523995578289032,1.441483974456787,28.505781173706055,,,3.5819189683183796,,0.21931740592497664,0.06122902496254421,0.15808838096243244,0.24233752394533797,,0.28217936202952304,,,,,,,750.4099731445312,,,,,,,-95.10050857067108,,-23.001927614212036,,,,,,,,,,,,,,,,,,,,"Jimmy Herget","17556",623474
"Lance McCullers Jr.","HOU",,,,,,,,,,,244.74996948242188,55.58534622192383,,,6.095383167266846,19.58535385131836,0.15658552944660187,2.6887521743774414,52.75474166870117,,,2.693581237754868,,0.21554544738151665,0.08002188475339113,0.13552356262812554,0.2524902179169405,,0.3028873589006079,,,,,,,587.7899780273438,,,,,,,-180.8079478740692,,-40.55281591415405,,,,,,,,,,,,,,,,,,,,"Lance McCullers Jr.","14120",621121
"Tony Santillan","CIN",,,,,,,,,,,151.5426483154297,30.891220092773438,,,4.193446636199951,14.669259071350098,0.4169318675994873,1.9678200483322144,39.058067321777344,,,2.662579420801149,,0.25773647059723814,0.0967995427981214,0.16093692779911672,0.23207537242060236,,0.2917748314494629,,,,,,,596.0999755859375,,,,,,,-103.69166858196259,,-26.309908986091614,,,,,,,,,,,,,,,,,,,,"Tony Santillan","19926",663574
"Randy Dobnak","MIN",,,,,,,,,,,102.73868560791016,23.91451072692871,,,2.277815580368042,7.2451653480529785,0.2510042190551758,1.0867822170257568,20.52549171447754,,,2.8329914816910886,,0.19978347584483036,0.07052032352937901,0.12926315231545135,0.25584304712285383,,0.3026051115664838,,,,,,,999,,,,,,,-74.1397187948227,,-13.556461811065674,,,,,,,,,,,,,,,,,,,,"Randy Dobnak","23798",677976
"Brady Basso","OAK",,,,,,,,,,,107.8070068359375,25.046428680419922,,,3.5951077938079834,7.645269393920898,0.7516161203384399,0.6272338032722473,23.414161682128906,,,3.0625685604678066,,0.2171858988512775,0.07091625691413173,0.14626964193714578,0.2542669031232547,,0.2952132476099161,,,,,,,750.5599975585938,,,,,,,-87.32972666025162,,-24.72558754682541,,,,,,,,,,,,,,,,,,,,"Brady Basso","25582",669620
